ID,Year,Location,Latitude,Longitude,Ecosystem,Prior_land_use,Restoration_strategy
SB165,2024,China,33.333,108.35,Forest,Deforestation,Natural regeneration
SB166,2024,China,37.2,121.62,Forest,Deforestation,Natural regeneration
SB170,2025,China,36.16666667,106.35,Grassland,Pasture,Natural regeneration
SB171,2025,China,38.08333333,99.25,Grassland,Mining,Active restoration
SB172,2025,China,33.17861111,102.6261111,Grassland,Pasture,Active restoration
SB173,2025,Spain,46.51666667,13.5,Forest,Pasture,Natural regeneration
SB174,2025,China,35.83333333,120.0333333,Forest,Deforestation,Active restoration
SB175,2025,China,29.05,110.3833333,Forest,Erosion,Active restoration
SB176,2025,China,49.13,120.16,Grassland,Pasture,Natural regeneration
SB177,2025,China,26.33333333,115.0166667,Forest,Erosion,Active restoration
SB179,2025,China,37.7843,107.4072,Forest,Pasture,Active restoration
SB180,2025,China,38.63944444,99.15111111,Grassland,Pasture,Active restoration
SB182,2025,China,40.5775,111.7655556,Grassland,Agriculture,Active restoration
SB183,2025,China,23.1725,112.5441667,Forest,Deforestation,Active restoration
SB184,2025,China,32.51666667,96.93333333,Grassland,Pasture,Active restoration
SB185,2025,China,40.03205833,112.4533722,Grassland,Agriculture,Active restoration
SB186,2023,China,36.225,106.4,Grassland,Pasture,Natural regeneration
