ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB069,Forest,Agriculture,Passive,45,Total,Richness_OTU,833.677,632.231,85.88547134,68.18,3,4
SB063,Grassland,Pasture,Passive,8,Total,Richness_OTU,790.811966,666.880342,177.330101,127.156716,9,9
SB082,Forest,Deforestation,Active,10,Total,Richness_OTU,484.115,716.484,74.22180438,42.66521234,5,6
SB082,Forest,Deforestation,Active,16,Total,Richness_OTU,240.283,716.484,55.83908953,42.66521234,5,6
SB082,Forest,Deforestation,Active,22,Total,Richness_OTU,487.227,716.484,102.6265759,42.66521234,5,6
SB082,Forest,Deforestation,Active,47,Total,Richness_OTU,464.465,716.484,41.65347428,42.66521234,5,6
SB104,Forest,Agriculture,Active,7,Total,Richness_OTU,363,751,36.3,75.1,3,4
SB034,Forest,Agriculture,Passive,9,Total,Richness_OTU,1056.08,752.13,333.58,191.23,8,7
SB034,Forest,Agriculture,Passive,16.2,Total,Richness_OTU,1317.1,752.13,257.48,191.23,5,7
SB034,Forest,Agriculture,Passive,52.4,Total,Richness_OTU,884.86,752.13,280.27,191.23,9,7
SB090,Forest,Agriculture,Passive,110,Total,Richness_OTU,902,755,98,122.9837388,4,5
SB090,Forest,Agriculture,Passive,30,Total,Richness_OTU,768,755,110,122.9837388,4,5
SB090,Forest,Agriculture,Passive,15,Total,Richness_OTU,847,755,44,122.9837388,4,5
SB090,Forest,Agriculture,Passive,50,Total,Richness_OTU,860,755,48,122.9837388,4,5
SB071,Forest,Agriculture,Passive,5,Total,Richness_OTU,729.6,790,72.96,79,5,5
SB071,Forest,Agriculture,Passive,17.5,Total,Richness_OTU,764.2,790,76.42,79,5,5
SB071,Forest,Agriculture,Passive,35,Total,Richness_OTU,882.4,790,88.24,79,5,5
SB111,Grassland,Mining,Active,15,Total,Richness_OTU,1334,825,133.4,82.5,10,10
SB111,Grassland,Mining,Active,15,Total,Richness_OTU,1208,825,120.8,82.5,10,10
SB150,Grassland,Pasture,Active,5,Total,Richness_OTU,850,837,33.94819583,28.8,3,4
SB150,Grassland,Pasture,Active,14,Total,Richness_OTU,679,837,16.45448267,28.8,3,4
SB150,Grassland,Pasture,Active,16,Total,Richness_OTU,672,837,37.93191269,28.8,3,4
SB150,Grassland,Pasture,Active,19,Total,Richness_OTU,673,837,16.45448267,28.8,3,4
SB025,Grassland,Agriculture,Passive,5,Total,Richness_OTU,770,838,55.42562584,48.49742261,3,3
SB025,Grassland,Agriculture,Passive,10,Total,Richness_OTU,780,838,36.37306696,48.49742261,3,3
SB025,Grassland,Agriculture,Passive,15,Total,Richness_OTU,816,838,58.88972746,48.49742261,3,3
SB025,Grassland,Agriculture,Passive,20,Total,Richness_OTU,828,838,29.44,48.49742261,3,3
SB025,Grassland,Agriculture,Passive,30,Total,Richness_OTU,836,838,39.83716857,48.49742261,3,3
SB102,Forest,Monoculture plantation,Passive,30,Total,Richness_OTU,627.715,865.913,61.32672294,122.316,3,4
