ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB172,Grassland,Pasture,Active,3,Ascomycota,Relative abundance,78,68.5,7.8,6.85,8,8
SB029,Forest,Agriculture,Active,5,Ascomycota,Relative abundance,57.457,69.661,12.91590287,8.812,3,4
SB029,Forest,Agriculture,Active,15,Ascomycota,Relative abundance,33.559,69.661,2.934094068,8.812,3,4
SB029,Forest,Agriculture,Active,25,Ascomycota,Relative abundance,38.644,69.661,5.5772036,8.812,3,4
SB029,Forest,Agriculture,Active,35,Ascomycota,Relative abundance,47.118,69.661,19.96188556,8.812,3,4
SB136,Forest,Agriculture,Passive,7,Ascomycota,Relative abundance,46,70,4.6,7,3,4
SB136,Forest,Agriculture,Passive,21,Ascomycota,Relative abundance,59,70,5.9,7,3,4
SB136,Forest,Agriculture,Active,7,Ascomycota,Relative abundance,52,70,5.2,7,3,4
SB136,Forest,Agriculture,Active,7,Ascomycota,Relative abundance,55,70,5.5,7,3,4
SB142,Forest,Monoculture plantation,Active,5,Ascomycota,Relative abundance,71,70,7.1,7,3,3
SB142,Forest,Monoculture plantation,Active,10,Ascomycota,Relative abundance,58,70,5.8,7,3,3
SB090,Forest,Agriculture,Passive,110,Ascomycota,Relative abundance,50.11,70.75,11.04,8.184008798,4,5
SB090,Forest,Agriculture,Passive,30,Ascomycota,Relative abundance,59.7,70.75,6.2,8.184008798,4,5
SB090,Forest,Agriculture,Passive,15,Ascomycota,Relative abundance,66.69,70.75,12.56,8.184008798,4,5
SB090,Forest,Agriculture,Passive,50,Ascomycota,Relative abundance,65.28,70.75,6.7,8.184008798,4,5
SB114,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,58,72,5.8,7.2,3,3
SB114,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,45,72,4.5,7.2,3,3
SB114,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,61,72,6.1,7.2,3,3
SB056,Forest,Deforestation,Active,43,Ascomycota,Relative abundance,86.21,73.68,5.031152949,19.20399958,5,6
SB054,Forest,Agriculture,Passive,10,Ascomycota,Relative abundance,60,75,6,7.5,3,4
SB054,Forest,Agriculture,Passive,20,Ascomycota,Relative abundance,62,75,6.2,7.5,3,4
SB054,Forest,Agriculture,Passive,30,Ascomycota,Relative abundance,71,75,7.1,7.5,3,4
SB054,Forest,Agriculture,Passive,40,Ascomycota,Relative abundance,70,75,7,7.5,3,4
SB054,Forest,Agriculture,Passive,50,Ascomycota,Relative abundance,80,75,8,7.5,3,4
SB059,Forest,Agriculture,Passive,30,Ascomycota,Relative abundance,32,77,3.2,7.7,3,4
SB059,Forest,Agriculture,Passive,60,Ascomycota,Relative abundance,38,77,3.8,7.7,3,4
SB059,Forest,Agriculture,Passive,110,Ascomycota,Relative abundance,35,77,3.5,7.7,3,4
SB089,Forest,Agriculture,Active,29,Ascomycota,Relative abundance,62,77,6.2,7.7,9,9
SB159,Forest,Agriculture,Active,18,Ascomycota,Relative abundance,69,77,6.9,7.7,3,3
SB121,Grassland,Pasture,Active,14,Ascomycota,Relative abundance,89,78,8.9,7.8,4,5
SB121,Grassland,Pasture,Active,14,Ascomycota,Relative abundance,72.5,78,7.25,7.8,4,5
SB121,Grassland,Pasture,Active,14,Ascomycota,Relative abundance,72.75,78,7.275,7.8,4,5
SB137,Forest,Agriculture,Active,17.5,Ascomycota,Relative abundance,50.41,78.41,11.46617635,10.04,3,4
SB041,Grassland,Agriculture,Active,17,Ascomycota,Relative abundance,63.5,78.8,9.127907756,3,3,4
SB041,Grassland,Agriculture,Active,27,Ascomycota,Relative abundance,58.6,78.8,5.906293254,3,3,4
SB041,Grassland,Agriculture,Active,42,Ascomycota,Relative abundance,52.4,78.8,6.772318658,3,3,4
SB131,Grassland,Pasture,Passive,9,Ascomycota,Relative abundance,71,79,7.1,7.9,3,4
SB064,Forest,Mining,Active,12,Ascomycota,Relative abundance,77,80,7.7,8,4,4
SB131,Grassland,Pasture,Passive,9,Ascomycota,Relative abundance,84,80,8.4,8,3,4
SB021,Forest,Erosion,Active,12,Ascomycota,Relative abundance,80.725,80.907,16.62963755,1.21642098,5,5
SB021,Forest,Erosion,Active,29,Ascomycota,Relative abundance,36.825,80.907,14.60152389,1.21642098,5,5
SB021,Forest,Erosion,Active,53,Ascomycota,Relative abundance,44.988,80.907,24.74209217,1.21642098,5,5
SB050,Grassland,Pasture,Passive,5,Ascomycota,Relative abundance,58.54,81.907,4.785656381,11.054,3,4
SB050,Grassland,Pasture,Passive,10,Ascomycota,Relative abundance,80.399,81.907,1.740711062,11.054,3,4
SB050,Grassland,Pasture,Passive,15,Ascomycota,Relative abundance,78.641,81.907,9.573044813,11.054,3,4
SB080,Forest,Monoculture plantation,Active,13,Ascomycota,Relative abundance,95.732,82.755,4.468,4.73151984,4,5
SB076,Forest,Agriculture,Passive,3,Ascomycota,Relative abundance,56.72,83.21,5.672,8.321,3,3
SB076,Forest,Agriculture,Passive,6,Ascomycota,Relative abundance,59.79,83.21,5.979,8.321,3,3
SB076,Forest,Agriculture,Passive,20,Ascomycota,Relative abundance,47.33,83.21,4.733,8.321,3,3
SB076,Forest,Agriculture,Passive,40,Ascomycota,Relative abundance,55.61,83.21,5.561,8.321,3,3
SB158,Grassland,Agriculture,Passive,10,Ascomycota,Relative abundance,74.2,83.96,7.42,8.396,3,3
SB158,Grassland,Agriculture,Passive,20,Ascomycota,Relative abundance,56.28,83.96,5.628,8.396,3,3
SB158,Grassland,Agriculture,Passive,30,Ascomycota,Relative abundance,65.16,83.96,6.516,8.396,3,3
SB158,Grassland,Agriculture,Passive,40,Ascomycota,Relative abundance,56.47,83.96,5.647,8.396,3,3
SB158,Grassland,Agriculture,Passive,50,Ascomycota,Relative abundance,57.71,83.96,5.771,8.396,3,3
SB096,Forest,Erosion,Active,2.5,Ascomycota,Relative abundance,50,84,5,8.4,3,4
SB155,Forest,Erosion,Active,43,Ascomycota,Relative abundance,37.5,85.5,3.75,8.55,4,4
SB155,Forest,Erosion,Active,43,Ascomycota,Relative abundance,57.5,85.5,5.75,8.55,4,4
SB155,Forest,Erosion,Active,43,Ascomycota,Relative abundance,55.5,85.5,5.55,8.55,4,4
SB171,Grassland,Mining,Active,2,Ascomycota,Relative abundance,72.5,87,7.25,8.7,7,7
SB171,Grassland,Mining,Active,6,Ascomycota,Relative abundance,54,87,5.4,8.7,7,7
SB103,Grassland,Pasture,Passive,3,Ascomycota,Relative abundance,35,90,3.5,9,3,4
SB047,Forest,Mining,Active,3,Ascomycota,Relative abundance,90,92,9,9.2,20,21
SB131,Grassland,Pasture,Passive,9,Ascomycota,Relative abundance,80,94,8,9.4,3,4
SB072,Forest,Monoculture plantation,Active,2,Ascomycota,Relative abundance,95,95,9.5,9.5,3,3
SB072,Forest,Monoculture plantation,Active,2,Ascomycota,Relative abundance,97,95,9.7,9.5,3,3
SB099,Forest,Mining,Active,2,Ascomycota,Relative abundance,86.019,97.708,26.37,34.84911943,4,5
SB099,Forest,Mining,Active,2,Ascomycota,Relative abundance,100.406,97.708,8.392,34.84911943,4,5
SB099,Forest,Mining,Active,2,Ascomycota,Relative abundance,82.122,97.708,43.76,34.84911943,4,5
