ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB060,Forest,Agriculture,Active,15,Total,PLFA content,9.6,5.7,2.04,2.168985938,4,5
SB060,Forest,Agriculture,Active,15,Total,PLFA content,11.17,5.7,2.34,2.168985938,4,5
SB060,Forest,Agriculture,Active,15,Total,PLFA content,10.39,5.7,1.94,2.168985938,4,5
SB060,Forest,Agriculture,Passive,15,Total,PLFA content,12.97,5.7,2.82,2.168985938,4,5
SB031,Forest,Agriculture,Active,15,Total,PLFA content,10.906,5.916,1.274789394,1.472,3,4
SB031,Forest,Agriculture,Active,15,Total,PLFA content,10.716,5.916,0.575040868,1.472,3,4
SB031,Forest,Agriculture,Active,15,Total,PLFA content,9.647,5.916,0.452065261,1.472,3,4
SB175,Forest,Erosion,Active,44,Total,PLFA content,7.756757,8.362162,0.7756757,0.8362162,3,3
SB175,Forest,Erosion,Active,44,Total,PLFA content,7.075676,8.362162,0.7075676,0.8362162,3,3
SB175,Forest,Erosion,Active,44,Total,PLFA content,7.52973,8.362162,0.752973,0.8362162,3,3
SB175,Forest,Erosion,Active,44,Total,PLFA content,14.491892,8.362162,1.4491892,0.8362162,3,3
SB175,Forest,Erosion,Active,44,Total,PLFA content,9.497297,8.362162,0.9497297,0.8362162,3,3
SB016,Forest,Pasture,Active,17,Total,PLFA content,17,9.5,1.6,2.4,4,4
SB016,Forest,Pasture,Active,10,Total,PLFA content,11.6,10.9,2,5.6,4,4
SB016,Forest,Pasture,Active,30,Total,PLFA content,22.2,11,6.8,2.4,4,4
SB014,Forest,Agriculture,Active,23,Total,PLFA content,55.2,13.1,8.2,3.2,4,4
SB014,Forest,Agriculture,Active,9,Total,PLFA content,15.2,14.2,5.2,4.2,4,4
SB108,Forest,Agriculture,Passive,10,Total,PLFA content,15.26,14.69,0.36,3.063413129,4,5
SB108,Forest,Agriculture,Passive,20,Total,PLFA content,32.88,14.69,7.22,3.063413129,4,5
SB108,Forest,Agriculture,Passive,40,Total,PLFA content,24.98,14.69,2.1,3.063413129,4,5
SB016,Forest,Pasture,Active,9,Total,PLFA content,11.8,15.6,1,4.2,4,4
SB183,Forest,Deforestation,Active,10,Total,PLFA content,9.9,16.7,0.038729833,0.077459667,15,15
SB183,Forest,Deforestation,Active,30,Total,PLFA content,7.4,16.7,0.077459667,0.077459667,15,15
SB183,Forest,Deforestation,Active,50,Total,PLFA content,5.9,16.7,0.077459667,0.077459667,15,15
SB016,Forest,Pasture,Active,18,Total,PLFA content,21.1,19.3,2.2,6.8,4,4
