ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB171,Grassland,Mining,Active,6,Ascomycota,Relative abundance,54,72,5.4,7.2,7,7
SB118,Grassland,Agriculture,Active,2.5,Ascomycota,Relative abundance,60,74,6,7.4,5,5
SB118,Grassland,Agriculture,Active,11,Ascomycota,Relative abundance,70,74,7,7.4,5,5
SB118,Grassland,Agriculture,Active,16,Ascomycota,Relative abundance,68,74,6.8,7.4,5,5
SB050,Grassland,Pasture,Passive,5,Ascomycota,Relative abundance,58.54,76.379,4.785656381,18.71307692,3,3
SB050,Grassland,Pasture,Passive,10,Ascomycota,Relative abundance,80.399,76.379,1.740711062,18.71307692,3,3
SB050,Grassland,Pasture,Passive,15,Ascomycota,Relative abundance,78.641,76.379,9.573044813,18.71307692,3,3
SB128,Grassland,Mining,Passive,2,Ascomycota,Relative abundance,4.415,76.452,4.902,5.776,4,4
SB128,Grassland,Mining,Passive,5,Ascomycota,Relative abundance,3.269,76.452,1.128,5.776,4,4
SB128,Grassland,Mining,Passive,10,Ascomycota,Relative abundance,8.55,76.452,1.548,5.776,4,4
SB128,Grassland,Mining,Passive,15,Ascomycota,Relative abundance,17.115,76.452,8.35,5.776,4,4
SB122,Forest,Mining,Active,5,Ascomycota,Relative abundance,48,82.32,4.8,8.232,7,7
SB122,Forest,Mining,Active,5,Ascomycota,Relative abundance,65.41,82.32,6.541,8.232,7,7
SB122,Forest,Mining,Active,5,Ascomycota,Relative abundance,61.11,82.32,6.111,8.232,7,7
SB122,Forest,Mining,Active,5,Ascomycota,Relative abundance,62.11,82.32,6.211,8.232,7,7
