ID,Restored_SS,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Reference_Mean,Res_vs_Ref_Mean,Restored_SD,Reference_SD,Res_vs_Ref_SD,Restored_SS,Reference_SS,yi,vi
SB161,9,20,Forest,Pasture,Passive,0.06378795,0.31976646,0.3821773,0.04562021,0.21110437,0.23035855,9,9,-0.003596851,0.075598546
SB186,8,4,Grassland,Pasture,Active,0.2039638,0.3321269,0.3022567,0.1156204,0.1993039,0.1871227,8,15,-0.573026707,0.062937033
SB044,9,31,Forest,Agriculture,Passive,0.3792066,0.3415624,0.3620045,0.1733186,0.1591209,0.1659142,9,10,-0.688662055,0.034638255
SB076,3,6,Forest,Agriculture,Passive,0.03580439,0.38570081,0.23973,0.02197102,0.20497746,0.18410973,3,3,-0.564318824,0.276336293
SB076,3,40,Forest,Agriculture,Passive,0.14495774,0.38570081,0.2827494,0.05397851,0.20497746,0.22686344,3,3,-0.629557789,0.267771289
SB076,3,20,Forest,Agriculture,Passive,0.1617872,0.38570081,0.2352016,0.10087295,0.20497746,0.17274375,3,3,-0.844897543,0.237845286
SB076,3,3,Forest,Agriculture,Passive,0.16302506,0.38570081,0.2557891,0.07951644,0.20497746,0.11779915,3,3,-0.763245714,0.124210027
SB071,5,5,Forest,Agriculture,Passive,0.3173994,0.4895661,1.8653772,0.1244005,0.3445929,0.1588059,5,5,0.837937647,0.042672244
SB071,5,35,Forest,Agriculture,Passive,0.613626,0.4895661,0.5661272,0.3355365,0.3445929,0.2939906,5,5,-0.667144378,0.091950018
SB071,5,17,Forest,Agriculture,Passive,0.8773351,0.4895661,1.2019627,0.569839,0.3445929,0.4785939,5,5,-0.128590476,0.079178078
SB152,15,2,Grassland,Agriculture,Passive,0.2475405,0.496795,1.3710528,0.1345507,0.2133497,0.2928209,15,15,0.610842317,0.010696504
SB152,15,10,Grassland,Agriculture,Passive,0.3175238,0.496795,1.1988772,0.1658337,0.2133497,0.3160494,15,15,0.386788796,0.011974073
SB152,15,20,Grassland,Agriculture,Passive,0.4261561,0.496795,1.0856527,0.2269553,0.2133497,0.3723593,15,15,0.162360398,0.015435961
SB064,4,12,Forest,Mining,Active,0.2028661,0.6746457,1.207857,0.08065524,0.52073925,0.1490445,4,4,0.319512591,0.093957578
SB020,3,5,Forest,Mining,Active,0.1701022,0.6759611,1.9283047,0.03638475,0.44802788,0.3542739,3,3,0.823802323,0.105340188
SB020,3,11,Forest,Mining,Active,0.2612105,0.6759611,1.6151877,0.08742773,0.44802788,0.4394019,3,3,0.544340049,0.103751916
SB020,3,30,Forest,Mining,Active,0.4236239,0.6759611,1.0894497,0.25217693,0.44802788,0.4556273,3,3,-0.00926013,0.131173057
SB020,3,21,Forest,Mining,Active,0.472373,0.6759611,1.0570555,0.29206261,0.44802788,0.3656965,3,3,-0.082825071,0.112198047
SB075,5,9,Grassland,Pasture,Passive,0.6424914,0.8542797,4.480558,0.5616954,0.5420078,0.8237417,5,5,1.096437404,0.061151638
SB075,5,9,Grassland,Pasture,Active,1.1012005,0.8542797,6.558165,0.6418859,0.5420078,1.0116373,5,5,1.210075048,0.041673631
SB083,3,10,Forest,Agriculture,Passive,0.9659221,3.7020261,2.233993,0.4274467,1.3243959,1.200383,3,3,-0.73692905,0.125867451
SB083,3,29,Forest,Agriculture,Passive,1.7855904,3.7020261,2.572611,0.9114563,1.3243959,1.1309855,3,3,-0.757572672,0.093034624
SB083,3,59,Forest,Agriculture,Passive,4.1061268,3.7020261,3.423219,2.0192583,1.3243959,1.7086144,3,3,-0.824587095,0.114924789
SB056,5,43,Forest,Deforestation,Active,2.32061,4.699436,18.12317,1.148511,2.748558,2.573551,5,5,0.948421459,0.040045411
SB119,9,4,Grassland,Mining,Active,33.28706,26.32534,49.97677,17.83619,15.44395,20.95334,9,9,-0.176305309,0.036935692
SB119,9,4,Grassland,Mining,Active,34.88202,26.32534,40.83609,15.44395,15.44395,19.31304,9,9,-0.404701194,0.039000584
