ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB070,Forest,Agriculture,Passive,7.5,Total,Shannon index,4.273,3.885,0.55772036,1.784,3,4
SB070,Forest,Agriculture,Passive,30,Total,Shannon index,4.232,3.885,2.239541694,1.784,3,4
SB070,Forest,Agriculture,Passive,60,Total,Shannon index,4.154,3.885,1.11544072,1.784,3,4
SB027,Grassland,Pasture,Passive,10,Total,Shannon index,4.03,3.92,0.329089653,0.26,3,4
SB027,Grassland,Pasture,Passive,25,Total,Shannon index,4.84,3.92,0.207846097,0.26,3,4
SB027,Grassland,Pasture,Passive,35,Total,Shannon index,3.26,3.92,0.311769145,0.26,3,4
SB098,Grassland,Pasture,Active,1,Total,Shannon index,4.09,3.92,0.06,0.648459713,4,5
SB098,Grassland,Pasture,Active,5,Total,Shannon index,4.04,3.92,0.2,0.648459713,4,5
SB098,Grassland,Pasture,Active,10,Total,Shannon index,2.79,3.92,1.3,0.648459713,4,5
SB142,Forest,Monoculture plantation,Active,5,Total,Shannon index,6.23,3.93,0.71,2.32,3,3
SB142,Forest,Monoculture plantation,Active,10,Total,Shannon index,5.1,3.93,1.31,2.32,3,3
SB092,Forest,Agriculture,Active,15,Total,Shannon index,4.147,3.945,0.441234631,0.017435596,18,19
SB092,Forest,Agriculture,Passive,15,Total,Shannon index,4.229,3.945,0.386080303,0.017435596,18,19
SB050,Grassland,Pasture,Passive,5,Total,Shannon index,4.249,3.983,0.17147303,1.052,3,4
SB050,Grassland,Pasture,Passive,10,Total,Shannon index,4.532,3.983,0.067549981,1.052,3,4
SB050,Grassland,Pasture,Passive,15,Total,Shannon index,4.268,3.983,0.197453792,1.052,3,4
SB092,Forest,Agriculture,Active,15,Total,Shannon index,4.287,3.984,0.398808225,0.396659804,18,19
SB092,Forest,Agriculture,Passive,15,Total,Shannon index,4.439,3.984,0.364867099,0.396659804,18,19
SB141,Forest,Deforestation,Active,59,Total,Shannon index,2.709684,4.020524,0.7489771,0.5694107,15,15
SB141,Forest,Deforestation,Active,59,Total,Shannon index,1.523595,4.020524,0.4901749,0.5694107,15,15
SB141,Forest,Deforestation,Active,59,Total,Shannon index,2.400687,4.020524,0.8158386,0.5694107,15,15
SB149,Forest,Agriculture,Passive,15,Total,Shannon index,6.403,4.043,0.15068842,0.56,3,4
SB149,Forest,Agriculture,Passive,20,Total,Shannon index,6.543,4.043,0.135099963,0.56,3,4
SB149,Forest,Agriculture,Passive,40,Total,Shannon index,6.587,4.043,0.698016475,0.56,3,4
SB053,Forest,Agriculture,Passive,30,Total,Shannon index,4.565,4.161,0.314,0.152052622,4,5
SB053,Forest,Agriculture,Passive,60,Total,Shannon index,4.485,4.161,0.212,0.152052622,4,5
SB053,Forest,Agriculture,Passive,120,Total,Shannon index,4.434,4.161,0.194,0.152052622,4,5
SB006,Grassland,Pasture,Passive,20,Total,Shannon index,3.62,4.17,0.362,0.417,3,3
SB006,Grassland,Pasture,Active,20,Total,Shannon index,4.69,4.17,0.469,0.417,3,3
SB006,Grassland,Pasture,Active,20,Total,Shannon index,4.7,4.17,0.47,0.417,3,3
SB006,Grassland,Pasture,Active,20,Total,Shannon index,4.68,4.17,0.468,0.417,3,3
SB080,Forest,Monoculture plantation,Active,13,Total,Shannon index,4.51,4.17,0.16,0.223606798,4,5
SB183,Forest,Deforestation,Active,10,Total,Shannon index,3.551082,4.207148,0.3551082,0.4207148,15,15
SB183,Forest,Deforestation,Active,30,Total,Shannon index,3.26991,4.207148,0.326991,0.4207148,15,15
SB183,Forest,Deforestation,Active,50,Total,Shannon index,3.444577,4.207148,0.3444577,0.4207148,15,15
SB115,Forest,Agriculture,Passive,8,Total,Shannon index,5.47,4.29,0.547,0.429,2,3
SB115,Forest,Agriculture,Passive,33,Total,Shannon index,5.79,4.29,0.579,0.429,2,3
SB115,Forest,Agriculture,Passive,40,Total,Shannon index,5.39,4.29,0.539,0.429,2,3
SB144,Forest,Erosion,Active,2,Total,Shannon index,4.91,4.3,0.519615242,0.3,3,4
SB144,Forest,Erosion,Active,2,Total,Shannon index,5.17,4.3,0.103923048,0.3,3,4
SB144,Forest,Erosion,Active,2,Total,Shannon index,5.4,4.3,0.45033321,0.3,3,4
SB103,Grassland,Pasture,Passive,3,Total,Shannon index,2.99,4.31,2.996447897,0.62,3,4
SB121,Grassland,Pasture,Active,14,Total,Shannon index,4.778,4.314,0.564,1.665870643,4,5
SB121,Grassland,Pasture,Active,14,Total,Shannon index,4.082,4.314,1.572,1.665870643,4,5
SB121,Grassland,Pasture,Active,14,Total,Shannon index,4.304,4.314,1.552,1.665870643,4,5
SB159,Forest,Agriculture,Active,18,Total,Shannon index,4.359909,4.373576,0.2367268,0.2367268,3,3
SB166,Forest,Deforestation,Passive,40,Total,Shannon index,3.94589552,4.39232409,0.88116363,0.28365086,5,5
SB166,Forest,Deforestation,Active,40,Total,Shannon index,4.07782516,4.39232409,0.16962375,0.28365086,5,5
SB025,Grassland,Agriculture,Passive,5,Total,Shannon index,4.17,4.4,0.190525589,0.121243557,3,3
SB025,Grassland,Agriculture,Passive,10,Total,Shannon index,4.29,4.4,0.242,0.121243557,3,3
SB025,Grassland,Agriculture,Passive,15,Total,Shannon index,4.39,4.4,0.242487113,0.121243557,3,3
SB025,Grassland,Agriculture,Passive,20,Total,Shannon index,4.55,4.4,0.051961524,0.121243557,3,3
SB025,Grassland,Agriculture,Passive,30,Total,Shannon index,4.66,4.4,0.138564065,0.121243557,3,3
SB063,Grassland,Pasture,Passive,8,Total,Shannon index,5.732181,4.488121,1.096706,1.221523,9,9
SB090,Forest,Agriculture,Passive,110,Total,Shannon index,4.52,4.56,0.4,0.156524758,4,5
SB090,Forest,Agriculture,Passive,30,Total,Shannon index,4.64,4.56,0.46,0.156524758,4,5
SB090,Forest,Agriculture,Passive,15,Total,Shannon index,4.36,4.56,0.5,0.156524758,4,5
SB090,Forest,Agriculture,Passive,50,Total,Shannon index,4.95,4.56,0.12,0.156524758,4,5
SB057,Forest,Agriculture,Active,13,Total,Shannon index,5.048,4.577,0.159348674,0.798,3,4
SB057,Forest,Agriculture,Active,29,Total,Shannon index,5.075,4.577,0.320429399,0.798,3,4
SB057,Forest,Agriculture,Active,44,Total,Shannon index,4.927,4.577,0.131635861,0.798,3,4
SB146,Forest,Erosion,Active,25,Total,Shannon index,5.5,4.6,0.320429399,0.726,3,4
SB146,Forest,Erosion,Active,25,Total,Shannon index,4.7,4.6,1.09292406,0.726,3,4
SB156,Forest,Deforestation,Active,15,Total,Shannon index,4.226006,4.724458,0.04334365,0.13003096,4,4
SB156,Forest,Deforestation,Active,12,Total,Shannon index,4.724458,4.724458,0.52012384,0.13003096,4,4
SB111,Grassland,Mining,Active,15,Total,Shannon index,5.33,4.78,0.533,0.478,10,10
SB111,Grassland,Mining,Active,15,Total,Shannon index,4.79,4.78,0.479,0.478,10,10
SB136,Forest,Agriculture,Passive,7,Total,Shannon index,3.769,4.853,0.3769,0.4853,3,4
SB136,Forest,Agriculture,Passive,21,Total,Shannon index,5.308,4.853,0.5308,0.4853,3,4
SB136,Forest,Agriculture,Active,7,Total,Shannon index,4.601,4.853,0.4601,0.4853,3,4
SB136,Forest,Agriculture,Active,7,Total,Shannon index,4.821,4.853,0.4821,0.4853,3,4
SB101,Grassland,Agriculture,Passive,24,Total,Shannon index,6.23,4.87,1.95,2.181971586,9,10
SB101,Grassland,Agriculture,Active,24,Total,Shannon index,5.94,4.87,2.55,2.181971586,9,10
SB101,Grassland,Agriculture,Active,24,Total,Shannon index,5.86,4.87,2.25,2.181971586,9,10
