ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB154,Forest,Agriculture,Active,24,Basidiomycota,Relative abundance,71,12,7.1,1.2,3,4
SB154,Forest,Agriculture,Active,24,Basidiomycota,Relative abundance,35,12,3.5,1.2,3,4
SB154,Forest,Agriculture,Active,24,Basidiomycota,Relative abundance,25,12,2.5,1.2,3,4
SB154,Forest,Agriculture,Active,24,Basidiomycota,Relative abundance,18,12,1.8,1.2,3,4
SB154,Forest,Agriculture,Active,24,Basidiomycota,Relative abundance,85,12,8.5,1.2,3,4
SB160,Grassland,Agriculture,Passive,2,Basidiomycota,Relative abundance,14,12,1.4,1.2,3,3
SB160,Grassland,Agriculture,Passive,8,Basidiomycota,Relative abundance,6,12,0.6,1.2,3,3
SB049,Forest,Mining,Active,6,Basidiomycota,Relative abundance,20,12.5,2,1.25,4,5
SB049,Forest,Mining,Active,6,Basidiomycota,Relative abundance,40,12.5,4,1.25,4,5
SB049,Forest,Mining,Active,6,Basidiomycota,Relative abundance,6.5,12.5,0.65,1.25,4,5
SB097,Forest,Pasture,Active,6,Basidiomycota,Relative abundance,18,12.5,1.8,1.25,9,10
SB184,Grassland,Pasture,Active,5,Basidiomycota,Relative abundance,12.5,12.5,1.25,1.25,9,8
SB184,Grassland,Pasture,Active,10,Basidiomycota,Relative abundance,15,12.5,1.5,1.25,6,8
SB028,Forest,Agriculture,Active,15,Basidiomycota,Relative abundance,33.75,13.84,7.517100505,3.32,3,4
SB028,Forest,Agriculture,Active,30,Basidiomycota,Relative abundance,66.57,13.84,15.31132914,3.32,3,4
SB028,Forest,Agriculture,Active,45,Basidiomycota,Relative abundance,53.91,13.84,12.79985547,3.32,3,4
SB155,Forest,Erosion,Active,43,Basidiomycota,Relative abundance,62,14,6.2,1.4,4,4
SB155,Forest,Erosion,Active,43,Basidiomycota,Relative abundance,30,14,3,1.4,4,4
SB155,Forest,Erosion,Active,43,Basidiomycota,Relative abundance,32,14,3.2,1.4,4,4
SB029,Forest,Agriculture,Active,5,Basidiomycota,Relative abundance,16.271,14.406,1.467047034,2.71,3,4
SB029,Forest,Agriculture,Active,15,Basidiomycota,Relative abundance,16.61,14.406,1.172598397,2.71,3,4
SB029,Forest,Agriculture,Active,25,Basidiomycota,Relative abundance,18.983,14.406,2.346928844,2.71,3,4
SB029,Forest,Agriculture,Active,35,Basidiomycota,Relative abundance,11.694,14.406,0.87988181,2.71,3,4
SB074,Forest,Monoculture plantation,Active,12,Basidiomycota,Relative abundance,20.58,14.77,1.54,2.728002933,4,5
SB092,Forest,Agriculture,Active,15,Basidiomycota,Relative abundance,45,15,4.5,1.5,18,19
SB092,Forest,Agriculture,Passive,15,Basidiomycota,Relative abundance,45,15,4.5,1.5,18,19
SB092,Forest,Agriculture,Active,15,Basidiomycota,Relative abundance,30,15,3,1.5,18,19
SB092,Forest,Agriculture,Passive,15,Basidiomycota,Relative abundance,32,15,3.2,1.5,18,19
SB104,Forest,Agriculture,Active,7,Basidiomycota,Relative abundance,86,15,8.6,1.5,3,4
SB143,Grassland,Agriculture,Passive,5,Basidiomycota,Relative abundance,15,16,1.5,1.6,3,3
SB143,Grassland,Agriculture,Passive,10,Basidiomycota,Relative abundance,12,16,1.2,1.6,3,3
SB143,Grassland,Agriculture,Passive,15,Basidiomycota,Relative abundance,12,16,1.2,1.6,3,3
SB143,Grassland,Agriculture,Passive,25,Basidiomycota,Relative abundance,12,16,1.2,1.6,3,3
SB143,Grassland,Agriculture,Passive,30,Basidiomycota,Relative abundance,12,16,1.2,1.6,3,3
SB121,Grassland,Pasture,Active,14,Basidiomycota,Relative abundance,7.125,17,0.7125,1.7,4,5
SB121,Grassland,Pasture,Active,14,Basidiomycota,Relative abundance,25.25,17,2.525,1.7,4,5
SB121,Grassland,Pasture,Active,14,Basidiomycota,Relative abundance,19.5,17,1.95,1.7,4,5
SB077,Forest,Monoculture plantation,Active,11,Basidiomycota,Relative abundance,28.03,18.03,32.45863213,8.54,3,4
SB077,Forest,Monoculture plantation,Active,11,Basidiomycota,Relative abundance,78.76,18.03,12.21095819,8.54,3,4
SB099,Forest,Mining,Active,2,Basidiomycota,Relative abundance,31.468,18.58,32.37,20.77530758,4,5
SB099,Forest,Mining,Active,2,Basidiomycota,Relative abundance,2.994,18.58,3.596,20.77530758,4,5
SB099,Forest,Mining,Active,2,Basidiomycota,Relative abundance,57.8444,18.58,38.964,20.77530758,4,5
SB056,Forest,Deforestation,Active,43,Basidiomycota,Relative abundance,5.35,18.7,4.114365079,19.10601999,5,6
SB142,Forest,Monoculture plantation,Active,5,Basidiomycota,Relative abundance,13,20,1.3,2,3,3
SB142,Forest,Monoculture plantation,Active,10,Basidiomycota,Relative abundance,15,20,1.5,2,3,3
SB071,Forest,Agriculture,Passive,5,Basidiomycota,Relative abundance,11.044,20.004,1.1044,2.0004,5,5
SB071,Forest,Agriculture,Passive,17.5,Basidiomycota,Relative abundance,12.031,20.004,1.2031,2.0004,5,5
SB071,Forest,Agriculture,Passive,35,Basidiomycota,Relative abundance,9.672,20.004,0.9672,2.0004,5,5
SB146,Forest,Erosion,Active,25,Basidiomycota,Relative abundance,28,23,2.8,2.3,3,4
SB146,Forest,Erosion,Active,25,Basidiomycota,Relative abundance,20,23,2,2.3,3,4
SB133,Grassland,Pasture,Active,31,Basidiomycota,Relative abundance,52.52,23.64,20.10910988,34.68,3,4
SB133,Grassland,Pasture,Active,48,Basidiomycota,Relative abundance,37.88,23.64,11.10244568,34.68,3,4
SB101,Grassland,Agriculture,Passive,24,Basidiomycota,Relative abundance,18,25,1.8,2.5,9,10
SB101,Grassland,Agriculture,Active,24,Basidiomycota,Relative abundance,16,25,1.6,2.5,9,10
SB101,Grassland,Agriculture,Active,24,Basidiomycota,Relative abundance,15,25,1.5,2.5,9,10
SB101,Grassland,Agriculture,Active,24,Basidiomycota,Relative abundance,22,25,2.2,2.5,9,10
SB101,Grassland,Agriculture,Passive,24,Basidiomycota,Relative abundance,15,25,1.5,2.5,9,10
SB183,Forest,Deforestation,Active,10,Basidiomycota,Relative abundance,42,25,4.2,2.5,15,15
SB183,Forest,Deforestation,Active,30,Basidiomycota,Relative abundance,55,25,5.5,2.5,15,15
SB183,Forest,Deforestation,Active,50,Basidiomycota,Relative abundance,45,25,4.5,2.5,15,15
