ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB162,NMDS,40,Grassland,Agriculture,Passive,0.04423607,0.1554436,0.015899231,0.10375486,3,3
SB095,PCoA,12,Forest,Monoculture plantation,Active,0.1969654,0.1599725,0.1340155,0.1096674,7,3
SB095,PCoA,12,Forest,Monoculture plantation,Active,0.2090452,0.1599725,0.1359602,0.1096674,8,3
SB173,PCoA,47,Forest,Pasture,Passive,0.2259549,0.1649814,0.128603,0.1500874,12,12
SB173,PCoA,23,Forest,Pasture,Passive,0.2664116,0.1649814,0.1567213,0.1500874,12,12
SB173,PCoA,68,Forest,Pasture,Passive,0.3347655,0.1649814,0.2517004,0.1500874,12,12
SB076,NMDS,6,Forest,Agriculture,Passive,0.03580439,0.1673083,0.02197102,0.12581562,3,3
SB076,NMDS,40,Forest,Agriculture,Passive,0.14495774,0.1673083,0.05397851,0.12581562,3,3
SB076,NMDS,20,Forest,Agriculture,Passive,0.1617872,0.1673083,0.10087295,0.12581562,3,3
SB076,NMDS,3,Forest,Agriculture,Passive,0.16302506,0.1673083,0.07951644,0.12581562,3,3
SB166,NMDS,40,Forest,Deforestation,Active,0.1080882,0.1826799,0.04124619,0.08555949,5,5
SB166,NMDS,40,Forest,Deforestation,Passive,0.2813809,0.1826799,0.17195277,0.08555949,5,5
SB028,PCoA,30,Forest,Agriculture,Active,0.05876116,0.1871757,0.08085721,0.01976585,3,3
SB100,NMDS,1.5,Forest,Agriculture,Active,0.05506797,0.19491735,0.04159106,0.12673047,3,3
SB100,NMDS,15,Forest,Agriculture,Active,0.06080478,0.19491735,0.030989,0.12673047,3,3
SB100,NMDS,15,Forest,Agriculture,Active,0.12228978,0.19491735,0.01736141,0.12673047,3,3
SB100,NMDS,1.5,Forest,Agriculture,Active,0.12332821,0.19491735,0.05458172,0.12673047,3,3
SB186,PCA,4,Grassland,Pasture,Active,0.2039638,0.2017281,0.1156204,0.1921757,8,15
SB080,NMDS,13,Forest,Monoculture plantation,Active,0.3532831,0.2034693,0.15025595,0.07314122,4,4
SB131,PCoA,9,Grassland,Pasture,Passive,0.4351419,0.2041315,0.3538579,0.1291986,3,3
SB152,NMDS,2,Grassland,Agriculture,Passive,0.2475405,0.2048806,0.1345507,0.1132914,15,15
SB152,NMDS,10,Grassland,Agriculture,Passive,0.3175238,0.2048806,0.1658337,0.1132914,15,15
SB152,NMDS,20,Grassland,Agriculture,Passive,0.4261561,0.2048806,0.2269553,0.1132914,15,15
SB146,PCoA,25,Forest,Erosion,Active,0.3893124,0.2071272,0.2198317,0.1277657,3,3
SB146,PCoA,25,Forest,Erosion,Active,0.513087,0.2071272,0.2136063,0.1277657,3,3
SB028,PCoA,45,Forest,Agriculture,Active,0.05876116,0.20792701,0.06296456,0.01976585,3,3
SB131,PCoA,9,Grassland,Pasture,Passive,0.09511542,0.21582045,0.04167415,0.17995202,3,3
SB054,NMDS,50,Forest,Agriculture,Passive,0.1417108,0.2232751,0.05188216,0.09985878,3,3
SB054,NMDS,40,Forest,Agriculture,Passive,0.1968208,0.2232751,0.09609208,0.09985878,3,3
SB054,NMDS,30,Forest,Agriculture,Passive,0.1980172,0.2232751,0.06639696,0.09985878,3,3
SB054,NMDS,10,Forest,Agriculture,Passive,0.6474502,0.2232751,0.30952343,0.09985878,3,3
SB054,NMDS,20,Forest,Agriculture,Passive,0.9769626,0.2232751,0.45651899,0.09985878,3,3
SB121,PCoA,14,Grassland,Pasture,Active,0.1267323,0.233709,0.08559675,0.20981405,4,4
SB121,PCoA,14,Grassland,Pasture,Active,0.3124265,0.233709,0.28270314,0.20981405,4,4
SB121,PCoA,14,Grassland,Pasture,Active,0.3960992,0.233709,0.25791089,0.20981405,4,4
SB133,PCA,48,Forest,Pasture,Active,0.2109048,0.2416995,0.05052236,0.074375,3,3
SB133,PCA,31,Forest,Pasture,Active,0.2524378,0.2416995,0.09578657,0.074375,3,3
SB142,PCA,10,Forest,Monoculture plantation,Active,0.283523,0.2505102,0.08086931,0.08527533,3,3
SB142,PCA,5,Forest,Monoculture plantation,Active,0.2981722,0.2505102,0.14315187,0.08527533,3,3
SB103,PCoA,3,Grassland,Pasture,Passive,0.2033744,0.2538494,0.037579,0.1600154,3,3
SB092,NMDS,15,Forest,Agriculture,Active,0.5087667,0.2546098,0.213413,0.1663143,9,9
SB092,NMDS,15,Forest,Agriculture,Passive,0.676156,0.2546098,0.3694225,0.1663143,9,9
SB132,NMDS,57,Forest,Erosion,Active,0.4224326,0.2563579,0.2288676,0.1231304,3,3
