ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB088,NMDS,10,Grassland,Mining,Active,0.08235555,0.12293334,0.4427434,0.03612818,0.04301225,0.07802523,5,5,0.768572163,0.021185554
SB088,NMDS,15,Grassland,Mining,Active,0.15170845,0.12293334,0.3053237,0.10224769,0.04301225,0.08413339,5,5,0.105904859,0.04781223
SB114,PCoA,30,Forest,Deforestation,Passive,0.16361496,0.12606171,0.550431,0.11203082,0.09968123,0.13048276,3,3,0.641936238,0.108059889
SB114,PCoA,30,Forest,Deforestation,Passive,0.33951558,0.12606171,0.3616821,0.10106538,0.09968123,0.1784151,3,3,-0.25251247,0.112099721
SB114,PCoA,30,Forest,Deforestation,Passive,0.36456123,0.12606171,0.7050598,0.29802043,0.09968123,0.26488877,3,3,0.362606732,0.183800616
SB074,PCA,12,Forest,Monoculture plantation,Active,0.3711003,0.1269266,0.6560265,0.16434719,0.05431831,0.1501303,4,4,0.275547093,0.043291187
SB149,PCoA,20,Forest,Agriculture,Passive,0.02341877,0.12969365,0.82949549,0.007215376,0.060086914,0.01704362,3,3,1.68964525,0.052216461
SB149,PCoA,15,Forest,Agriculture,Passive,0.04958671,0.12969365,0.78850963,0.018345498,0.060086914,0.01965019,3,3,1.481193782,0.041140604
SB084,NMDS,5,Forest,Mining,Passive,0.1147138,0.131786,0.723699,0.04384454,0.05370486,0.07802906,5,6,1.077014378,0.016563666
SB084,NMDS,1,Forest,Mining,Passive,0.2059741,0.131786,0.6590433,0.08270383,0.05370486,0.13295915,6,6,0.668453358,0.020989922
SB084,NMDS,15,Forest,Mining,Passive,0.2059741,0.131786,0.6590433,0.08270383,0.05370486,0.13295915,6,6,0.668453358,0.020989922
SB084,NMDS,10,Forest,Mining,Passive,0.345489,0.131786,0.5281674,0.15493476,0.05370486,0.11107582,5,6,0.101320434,0.032031948
SB084,NMDS,2,Forest,Mining,Passive,0.5077122,0.131786,0.7146404,0.33262362,0.05370486,0.19010325,3,6,0.111095673,0.11494215
SB172,PCoA,3,Grassland,Pasture,Active,0.12419253,0.14056709,0.6155083,0.05668062,0.07839591,0.10044282,8,8,0.843626111,0.020017265
SB160,PCA,8,Grassland,Agriculture,Passive,0.07292843,0.14237875,0.7409353,0.02368723,0.07091338,0.09179882,3,3,1.235847554,0.045310374
SB160,PCA,2,Grassland,Agriculture,Passive,0.21567177,0.14237875,0.3535914,0.13936403,0.07091338,0.17098208,3,3,-0.012532085,0.141518059
SB091,PCoA,4,Grassland,Pasture,Active,0.3196904,0.1441818,0.5170811,0.22085916,0.07108804,0.1431247,8,8,0.108590645,0.040848862
SB082,PCoA,10,Forest,Deforestation,Active,0.1107177,0.1460935,0.8285544,0.04679356,0.06715891,0.03414091,3,3,1.171341311,0.034428757
SB082,PCoA,16,Forest,Deforestation,Active,0.129098,0.1460935,0.6138322,0.02801118,0.06715891,0.0640337,3,3,0.802254382,0.026933542
SB082,PCoA,22,Forest,Deforestation,Active,0.1769981,0.1460935,0.8605243,0.07304474,0.06715891,0.11128195,3,3,0.97960598,0.037014321
SB082,PCoA,47,Forest,Deforestation,Active,0.3969355,0.1460935,0.5154484,0.07686703,0.06715891,0.21876306,3,3,-0.052125524,0.071819657
SB150,NMDS,5,Grassland,Pasture,Active,0.03312692,0.14735265,0.5404058,0.008113686,0.063203293,0.0703238,3,3,1.096702753,0.047197591
