ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB130,NMDS,7,Forest,Monoculture plantation,Active,0.5204004,0.3057615,0.3619845,0.2293303,0.14359179,0.18616836,3,3,-0.825189366,0.123921914
SB096,PCA,2.5,Forest,Erosion,Active,0.2685537,0.3084486,0.2939439,0.08387498,0.17221062,0.1221887,3,3,-0.67445732,0.094334378
SB093,NMDS,10,Forest,Mining,Active,0.2450633,0.3290325,2.5955586,0.1494341,0.2079511,0.1956903,7,7,1.508760751,0.029234805
SB093,NMDS,10,Forest,Mining,Active,0.2515824,0.3290325,2.3127842,0.1399883,0.2079511,0.1591071,7,7,1.382119645,0.027305687
SB093,NMDS,10,Forest,Mining,Active,0.255314,0.3290325,1.9164792,0.1333097,0.2079511,0.2556142,7,7,1.187750903,0.028068279
SB093,NMDS,10,Forest,Mining,Active,0.3070416,0.3290325,1.1051156,0.1611021,0.2079511,0.2680535,7,7,0.552390158,0.032837866
SB093,NMDS,10,Forest,Mining,Active,0.3160214,0.3290325,1.3404332,0.1691998,0.2079511,0.2071525,7,7,0.731414245,0.028087657
SB097,NMDS,6,Forest,Pasture,Active,0.3939371,0.3316547,0.3333805,0.1976931,0.2653187,0.2181565,6,6,-0.777703117,0.10602473
SB159,NMDS,18,Forest,Agriculture,Active,0.3170879,0.3805018,0.472151,0.1903568,0.3251711,0.153211,12,12,-0.390332258,0.03308682
SB148,NMDS,22,Grassland,Pasture,Passive,0.245389,0.3831005,1.085502,0.10181988,0.15719289,0.1757095,5,5,0.54647851,0.023000832
SB148,NMDS,39,Grassland,Pasture,Passive,0.2925557,0.3831005,1.0514411,0.09414656,0.15719289,0.1857973,5,5,0.442232612,0.020953679
SB148,NMDS,5,Grassland,Pasture,Passive,0.3743323,0.3831005,0.5847133,0.20390727,0.15719289,0.243502,4,5,-0.258813179,0.070089334
SB148,NMDS,13,Grassland,Pasture,Passive,0.520466,0.3831005,1.0271386,0.31293099,0.15719289,0.3107384,5,5,0.128182447,0.048346442
SB074,PCA,12,Forest,Monoculture plantation,Active,0.3087789,0.3869823,0.6015639,0.1191452,0.231836,0.1423348,4,4,-0.145473734,0.049084554
SB064,NMDS,12,Forest,Mining,Active,0.2028661,0.3900844,1.690123,0.08065524,0.15270937,0.1852785,4,4,1.047445665,0.024211881
SB163,PCoA,11,Forest,Monoculture plantation,Active,0.200813,0.4011929,0.4703068,0.2027942,0.2018981,0.1642559,9,9,-0.246881998,0.038659075
SB118,RDA,2.5,Grassland,Agriculture,Active,0.2177068,0.4087076,0.3504833,0.1158595,0.2025246,0.207927,15,15,-0.580699074,0.032712787
SB118,RDA,11,Grassland,Agriculture,Active,0.3015038,0.4087076,0.8001102,0.2926361,0.2025246,0.235401,15,15,0.119186796,0.022510293
SB118,RDA,16,Grassland,Agriculture,Active,0.3370622,0.4087076,0.413931,0.1513069,0.2025246,0.1905286,15,15,-0.58871768,0.021785194
SB179,MDS,7,Forest,Pasture,Active,0.1482442,0.4412481,0.309543,0.05231215,0.17584341,0.16955915,3,3,-0.644164642,0.132303476
SB179,MDS,7,Forest,Pasture,Active,0.2099501,0.4412481,0.5626375,0.0958446,0.17584341,0.1844109,3,3,-0.146178502,0.067335535
SB179,MDS,7,Forest,Pasture,Active,0.2247026,0.4412481,0.4542988,0.16531095,0.17584341,0.16198749,3,3,-0.382460512,0.086160209
SB179,MDS,7,Grassland,Pasture,Active,0.2387743,0.4412481,0.3547859,0.07182527,0.17584341,0.12664005,3,3,-0.65061123,0.068477931
SB057,NMDS,44,Forest,Agriculture,Passive,0.6818383,0.48474,1.550844,0.1903201,0.2633523,0.3496693,3,3,0.284724365,0.042804929
SB057,NMDS,29,Forest,Agriculture,Passive,0.7727402,0.48474,1.9242451,0.4261644,0.2633523,0.4335273,3,3,0.425423858,0.069824928
SB057,NMDS,13,Forest,Agriculture,Passive,1.0064478,0.48474,1.7057339,0.3076756,0.2633523,0.486654,3,3,0.134422474,0.051720043
SB099,NMDS,2,Forest,Mining,Active,0.112755,0.4996415,0.4007068,0.04263098,0.27747516,0.2625752,4,3,-0.424149961,0.176991882
SB099,NMDS,2,Forest,Mining,Active,0.2192918,0.4996415,0.4630727,0.09986144,0.27747516,0.2202113,3,3,-0.439884524,0.131465365
SB099,NMDS,2,Forest,Mining,Active,0.3239015,0.4996415,0.4087374,0.1704695,0.27747516,0.2287297,4,3,-0.700542868,0.126840257
SB153,PCA,22,Grassland,Pasture,Passive,0.8713093,0.5093076,0.6734031,0.7441511,0.2863913,0.6085818,4,4,-0.717941597,0.287574343
SB067,CCA,23,Forest,Erosion,Active,0.1538382,0.5176667,0.9382807,0.0973789,0.32762078,0.9382807,3,3,0.334527845,0.419688879
SB067,CCA,29,Forest,Erosion,Active,0.2419718,0.5176667,1.2340345,0.06458894,0.32762078,1.2340345,3,3,0.4852015,0.397745418
SB067,CCA,40,Forest,Erosion,Active,0.3318939,0.5176667,1.0880557,0.16110726,0.32762078,1.0880557,3,3,0.247428346,0.394892198
SB063,NMDS,8,Grassland,Pasture,Passive,0.3105222,0.5371361,0.7342361,0.3105222,0.3030841,0.3328153,9,9,-0.143646967,0.051945137
SB089,NMDS,29,Forest,Agriculture,Active,0.7272393,0.5652719,1.574693,0.326954,0.3097756,0.4216093,9,7,0.19747334,0.023280812
SB178,NMDS,20,Forest,Agriculture,Passive,0.2690327,0.7136446,1.4395944,0.08012545,0.33912765,0.3132179,4,8,0.381835901,0.028383941
SB178,NMDS,40,Forest,Agriculture,Passive,0.3496533,0.7136446,0.8925918,0.14124328,0.33912765,0.3003308,4,8,-0.175001218,0.045429685
SB178,NMDS,60,Forest,Agriculture,Passive,1.0440621,0.7136446,2.2319739,0.58059214,0.33912765,0.4915112,4,8,0.238876403,0.044053183
SB174,NMDS,35,Forest,Deforestation,Active,1.4179802,0.7839443,1.081101,0.7917721,0.4348369,0.5274396,4,4,-0.711351784,0.101579332
SB174,NMDS,50,Forest,Deforestation,Active,1.8689145,0.7839443,1.24967,1.0522024,0.4348369,0.6401923,4,4,-0.752758335,0.111655625
SB058,PCA,5,Grassland,Mining,Active,1.3086153,0.9861095,1.490564,0.6978585,0.2353239,0.4587178,3,3,-0.431458352,0.065903559
SB058,PCA,5,Grassland,Mining,Active,4.2365232,0.9861095,17.233925,2.465053,0.2353239,2.8865826,3,3,1.193878202,0.08428774
SB058,PCA,5,Grassland,Mining,Active,4.6561433,0.9861095,12.131778,1.9705075,0.2353239,2.9723423,3,3,0.765544873,0.06124542
SB058,PCA,5,Grassland,Mining,Active,8.1683289,0.9861095,23.567026,5.402206,0.2353239,5.6391629,3,3,0.945609699,0.1353856
SB058,PCA,5,Grassland,Mining,Active,22.0558387,0.9861095,33.091886,16.2634455,0.2353239,15.6783927,3,3,0.361971727,0.240918566
SB058,PCA,5,Grassland,Mining,Active,26.490875,0.9861095,21.119379,17.8558952,0.2353239,18.3717389,3,3,-0.263157672,0.393034184
SB075,PCoA,9,Grassland,Pasture,Passive,0.6424914,1.1225755,4.564176,0.5616954,0.7293658,0.9849215,5,5,0.950049401,0.063717947
SB075,PCoA,9,Grassland,Pasture,Active,1.1012005,1.1225755,6.662831,0.6418859,0.7293658,1.1533951,5,5,1.097337817,0.044171604
SB056,PCA,43,Forest,Deforestation,Active,2.32061,2.289214,17.01512,1.148511,1.392414,2.124257,5,5,1.305912682,0.033779113
SB123,PCA,40,Forest,Monoculture plantation,Active,2.286616,3.217235,8.596907,1.153788,1.826177,2.522342,9,9,0.445954458,0.026680143
SB123,PCA,20,Forest,Monoculture plantation,Active,2.553145,3.217235,7.78078,1.480189,1.826177,1.926874,9,9,0.298918654,0.025253794
SB123,PCA,40,Forest,Monoculture plantation,Active,2.657193,3.217235,6.974812,1.282336,1.826177,2.386681,9,9,0.17169668,0.029042399
